Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
22,0.2,2.4,0.91,23,14,224,4.1,2,0,1.3
160,15,2,0.55,12,7,485,8.5,6.7,0,0.7
89,0.3,1.1,0.26,5,1,358,23,2.6,0,12
250,1.5,10,2.76,20,439,165,49,4.1,0,6.1
349,0.4,14,6.8,190,298,77,77,13,0,46
25,0.5,3.8,1.27,118,56,343,3.1,2.8,0,0.6
362,2.7,7.5,1.8,33,4,268,76,3.4,0,0
32,0.3,3,0.72,32,259,278,6.3,3.3,0,0
331,24,20,0.84,497,966,363,8.3,0,0,0
2,0,0.3,0.02,2,1,50,0.2,0,0,0
97,1.4,3.3,0.55,2,253,3.3,22,2.7,0,7.7
556,32,5.5,2.13,30,6,502,60,6.5,0,48
93,2.1,5.6,2.63,363,9,272,17,11,0,6.3
97,6.9,3.8,0.12,169,52,178,5.2,0,0,0
553,44,18,6.68,37,12,660,30,3.3,0,5.9
40,0.1,1.1,0.21,23,4,146,9.3,1.7,0,4.2
97,0.2,1.5,0.8,161,3,212,25,11,0,0
71,0.7,2.2,0.91,13,381,192,14,0.9,0,4
57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8
81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7
411,17,46,8.57,500,329,1129,19,7.1,200,5.7
18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1
187,9.3,16,1,17,402,178,9.4,0,0,0
184,6.3,30,1.31,10,50,323,0,0,0,0
298,14,12,2.14,146,692,199,30,1.8,0,3.2
276,11,11,2.47,192,580,170,33,2.1,0,2.5
289,14,3.5,0.91,17,357,545,37,3.9,0,0.3
292,15,18,0.62,13,859,315,20,1.3,0,0
256,12,13,2.78,92,660,178,25,1.4,0,0
257,12,15,1.32,92,605,256,23,1.2,0,5
426,23,5.2,1.06,60,402,102,51,1.5,0,32
452,25,4.9,4,24,326,201,51,1.9,0,27
381,1.4,2,0.8,18,286,110,90,2.5,0,65
429,9.5,13,2.28,11,490,241,73,14,0,0.5
168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1
156,1.7,5,17.2,4,207,63,30.2,2.1,0,0.74
130,1.5,2.6,3.16,1,201,117,26.9,1.1,0,0.5
297,7.5,11,3.01,93,409,266,46,4.9,0,2.7
16,0.2,1.2,0.47,5,42,212,3.2,0.9,0,2.63
60,4,3.1,0.08,183,70,234,7,0,1,7
407,6.2,4.4,3.81,17,457,51,84,2.9,0,55
108,0.2,1.8,0.14,4,19,4,24,1,0,0
188,7.2,4.4,24,6.4,522,91,26.4,2.2,0,0.24
151,2.4,9,37.4,3.4,438,180,29.3,1,0,1.35
109,8.5,2.1,35.2,8.3,243,366,6.3,1.5,0,3.29
579,50,21,3.71,269,1,733,22,13,0,4.4
22,0.3,3.1,0.5,3,5,318,3.3,1,7,2
196,15,14,1.89,62,207,152,0.8,0,88,0.4
76,0.1,1.4,0.72,27,27,230,18,2.5,0,5.7
87,0.1,1.9,0.31,5,240,379,20,2,0,0.9
360,0.6,6.6,4.36,9,1,86,79,1.4,0,0
45,0.2,0.7,0.2,11,1,200,10,0.2,0,8.4
73,1.9,10,0.04,115,34,141,3.9,0,0,3.6
40,0.9,3.2,0.88,10,1,92,11,2.6,0,0
1,0,0.2,0.02,0,1,0.2,0,0,0,0
486,31,17,7.72,631,16,407,42,34,0,0
95,4.2,11,0.1,56,403,86,3,0.1,0,0.4
127,4.4,21,0.38,7,75,366,0,0,435,0
384,0.9,5.9,19.4,2,571,107,88,2.7,286,7.8
31,0.2,1.8,1.03,37,6,211,7,2.7,0,3.3
101,0.5,8.8,3.1,14,246,284,21,0,0,0
126,0.7,2.6,0.25,1,0,31,28,4.8,0,0
1,0,0,0.08,2,1,9,0.2,0,0,0
52,0.2,0.3,0.12,6,1,107,14,24,0,10
32,0.3,0.7,0.41,16,1,153,7.7,2,0,4.9
120,1.9,4.4,1.49,17,7,172,21,2.8,0,0.9
109,2.3,21,2.83,13,82,385,57,0,0,0
114,2.3,22,3.2,12,50,378,0,0,0,0
295,15,19,0.72,11,798,334,22,1.1,0,0.3
255,13,3.3,0.69,19,43,551,31,3.5,0,0.9
195,4.9,3.6,1.18,39,677,131,34,1.1,0,1.4
319,20,14,1.54,47,1400,128,21,1.5,0,0.8
170,8.5,7.8,1.29,45,351,206,16,1.5,0,2
194,12,6.5,57,145,375,127,16,1.1,0,2.8
297,21,26,1.29,22,73,362,0,0,0,0
146,2.8,28,0.56,7,993,999,1.8,0,0,1.2
350,22,4.3,0.75,63,313,362,35,3.2,0,2.2
351,22,18,1.42,32,1140,288,21,1,0,0
203,10,27,1.52,28,78,294,0,0,8,0
159,4,29,4.9,6,81,409,0,0,0,0
550,50,22,3.4,68,1531,257,5.4,0,0,0
519,34,2.3,1.25,18,6,536,58,7.7,0,35
304,0,0.3,0.42,6,4,52,82,0.2,0,82
216,11,3.8,0.93,109,76,249,28,1.2,0,25
207,11,3.5,0.09,128,80,199,24,0.7,0,21
192,8.4,3.2,0.21,120,60,188,28,0.9,0,0
318,0.2,1.8,0.23,3,80,5,81,0.1,0,58
535,30,7.7,2.35,189,79,372,59,3.4,0,52
376,0.1,2.7,1.79,14,366,5,91,0.7,0,0
320,15,5,0.55,0,140,224,12.5,4.1,0.7,1.3
300,12,15,0.5,0,150,250,10,3.5,0,1
350,15,15,0,0,150,300,20,5,0,1
300,15,10,0.2,0,150,250,15,3.5,0,0
300,15,10,0.2,0,150,250,15,3.5,0,0
250,10,10,0,0,150,250,15,3.5,0,0
400,20,20,0.5,0,200,300,20,5,0,0
400,20,20,0.5,0,200,300,20,5,0,0
400,20,20,0.5,0,200,300,20,5,0,0
300,10,10,0,0,150,250,15,3.5,0,1
350,15,15,0,0,150,300,20,5,0,1
400,20,10,0.2,0,150,250,20,5,0,0
400,20,10,0.2,0,150,250,20,5,0,0
350,15,15,0,0,150,300,15,3.5,0,1
350,15,15,0.5,0,150,250,15,3.5,0,1
400,20,20,0.5,0,200,300,20,5,0,0
400,20,20,0.5,0,200,300,20,5,0,0
400,20,20,0.5,0,200,300,20,5,0,0
250,1.5,10,2.76,20,439,165,49,4.1,0,6.1
25,0.5,3.8,1.27,118,56,343,3.1,2.8,0,0.6
41,0.2,0.9,0.6,33,69,320,10,2.8,0,4.7
155,10.6,12.6,1.8,50,124,126,1.1,0,6,0.6
133,0.4,23.6,0.2,180,77,240,5.1,0,0,5.5
150,2.5,6,2,25,0,170,27,4,0,1
206,13,22,0.9,13,59,628,0,0,0,0
23,0.4,2.9,2.7,99,79,558,3.6,2.2,0,0.4
52,0.2,0.3,0.1,5,0,107,14,2.4,0,10.3
339,1.4,21,4.6,68,2,611,62,16.6,0,0.3
25,0.3,2,0.4,22,30,299,5.3,2.5,0,2
269,4.2,14.5,4.7,49,24,474,45,12.2,0,8
98,4.3,11.1,0.1,83,364,104,3.4,0,0,3.7
81,0.4,5,1.2,25,4,244,14,5.5,0,4.7
353,1.1,25.8,6.2,56,5,955,63,10.7,0,2
22,0.3,3.1,0.5,2,5,318,3.3,1,0,1.7
120,1.9,4,2.8,17,5,172,21,2.8,0,0.9
86,0.1,1.6,0.8,27,55,337,20,3,0,4.2
320,12,10,1,50,5,220,45,6,0,6
250,8,30,1,20,400,600,0,0,0,0
350,20,25,1,30,400,550,0,0,0,0
180,8,7,1,150,300,350,20,5,0,4
380,12,15,3,80,400,550,55,8,0,6
150,5,20,2,30,350,400,0,0,0,1
240,8,10,2,60,350,450,40,7,0,5
70,1,3,1,20,135,50,12,2,0,1
220,16,16,2,220,420,480,4,2,0,1
300,15,25,2,100,500,550,10,4,0,3
320,12,10,2,80,450,500,45,7,0,5
200,8,25,2,30,400,500,0,0,0,0
120,2,15,0,100,250,150,4,0,0,3
350,14,15,2,60,650,400,40,8,0,9
250,5,20,1,150,100,400,25,3,2,18
180,10,15,2,200,350,450,6,2,0,2
120,1,5,1,80,150,350,20,6,0,6
220,6,8,2,30,10,200,35,5,0,5
150,0,15,0,200,80,250,9,0,0,7
350,10,25,2,100,600,300,35,4,0,6
320,8,8,1,40,350,300,50,3,0,2
250,18,14,2,80,350,350,5,1,0,3
120,0,2,1,30,10,200,30,4,0,25
180,8,20,2,80,300,400,6,2,0,2
280,10,12,2,60,250,400,40,6,0,6
200,10,8,1,50,300,350,25,5,0,10
165,3,31,1,15,70,280,0,0,0,0
180,9,4,2,150,10,150,20,10,0,5
250,18,12,1,200,350,400,5,1,0,4
220,16,14,2,120,380,300,8,2,0,3
320,12,10,2,80,450,500,45,7,0,5
400,18,30,3,40,350,700,25,4,0,4
280,5,20,2,200,350,400,40,6,0,5
280,15,14,2,120,400,600,15,6,0,8
350,20,30,2,30,300,450,0,0,0,0
400,18,15,2,100,350,700,50,10,0,8
320,12,28,2,80,500,600,20,5,0,6
350,20,30,2,200,700,400,10,4,0,3
120,2,4,1,40,600,300,22,6,0,7
165,3,31,1,15,70,280,0,0,0,0
220,14,16,2,160,420,320,8,2,0,4
300,10,10,2,60,200,400,45,8,0,4
220,8,10,2,60,350,400,32,8,0,6
200,15,12,2,100,300,250,5,1,0,2
250,17,20,4,350,480,380,8,3,0,2
180,3,15,1,30,800,250,20,2,0,3
180,14,6,2,100,250,400,10,3,0,4
380,9,12,2,80,700,450,60,10,0,4
280,6,10,2,120,300,200,45,6,0,8
220,8,25,2,50,450,300,5,1,0,1
180,12,15,2,100,350,250,7,3,0,1
280,12,28,2,30,450,400,0,0,0,0
300,20,18,2,180,500,300,6,2,0,4
70,2,4,1,20,900,200,10,1,0,2
320,10,12,3,60,480,450,50,6,0,3
350,15,20,2,100,450,400,30,4,0,2
220,15,12,2,120,400,350,6,2,0,3
280,10,8,2,80,450,400,40,6,0,5
250,15,12,3,150,500,400,10,4,0,2
400,20,18,2,100,700,350,30,6,0,3
320,12,24,3,80,450,500,12,4,0,5
230,8,6,1,30,280,400,40,6,0,8
280,15,20,2,40,400,350,10,3,0,2
320,12,8,2,50,600,400,45,4,0,3
250,7,6,2,100,450,300,42,4,0,9
320,12,20,2,80,650,350,25,3,0,3
180,8,6,1,40,400,350,24,6,0,8
320,14,24,2,30,700,400,12,3,0,4
280,12,8,2,20,250,400,38,5,0,12
380,18,26,4,50,800,450,20,3,0,4
280,10,8,2,80,450,400,32,6,0,7
320,15,18,2,150,600,350,20,3,0,4
350,20,30,2,40,400,450,0,0,0,0
180,12,8,2,100,300,350,10,3,0,6
220,4,6,2,50,180,220,38,6,0,8
320,12,10,2,50,700,350,40,4,0,2
280,12,26,2,80,450,500,10,3,0,3
400,25,16,4,100,750,300,30,2,0,2
380,14,20,3,60,700,400,30,3,0,4
200,4,6,1,80,150,300,35,4,0,22
450,25,30,4,100,600,700,12,4,0,3
300,8,16,2,200,150,350,40,6,0,18
280,10,18,2,60,700,350,22,4,0,4
350,15,18,3,200,600,400,30,6,0,8
180,8,14,2,80,400,300,6,2,0,4
400,18,30,3,40,700,600,20,3,0,2
220,1,4,1,50,30,300,55,3,0,50
240,2,14,4,60,700,350,40,10,0,2
320,15,20,3,60,550,400,30,4,0,2
350,8,8,2,100,350,200,60,2,0,20
300,10,10,2,80,200,300,40,6,0,4
450,20,30,4,200,800,400,20,4,0,4
280,10,12,2,100,400,250,30,4,0,2
380,14,28,4,100,700,500,30,4,0,8
320,8,10,2,60,500,400,45,6,0,6
400,20,30,3,150,600,700,25,4,0,4
250,5,10,2,150,100,250,45,4,0,35
180,3.5,6,2,20,0,180,32,5,0,6
350,15,30,2,50,500,600,10,5,0,4
280,20,15,2,200,400,300,10,2,0,2
400,12,20,3,100,800,350,50,6,0,8
200,5,8,2,150,50,250,35,4,0,30
320,12,30,2,50,600,500,15,6,0,8
280,10,8,2,80,200,300,40,6,0,4
150,3,12,0,150,50,200,20,0,0,18
400,18,20,2,100,800,350,30,4,0,2
320,12,8,1,100,600,350,45,6,0,4
420,15,25,2,60,500,400,50,4,0,2
350,15,12,2,80,400,300,30,3,0,4
320,8,12,1,60,400,300,45,2,0,3
420,18,28,2,150,700,450,10,2,0,2
250,15,12,1,100,300,200,10,3,0,4
450,20,30,3,150,800,600,25,5,0,2
300,20,10,2,150,400,250,20,3,0,2
500,15,30,3,100,800,600,40,5,0,6
320,12,15,2,100,600,350,30,6,0,8
350,8,12,1,60,400,300,50,3,0,2
280,10,8,2,100,300,350,30,6,0,4
400,18,25,2,60,500,400,15,0,0,14
280,10,8,2,100,400,300,45,8,0,3
450,20,25,3,150,700,450,30,4,0,6
380,12,15,2,100,600,350,50,5,0,6
280,10,8,2,80,400,350,40,6,0,8
400,20,18,2,150,500,400,30,4,0,3
350,15,12,2,150,400,250,30,4,0,4
320,20,15,2,80,300,350,10,4,0,3
380,20,30,3,150,700,400,20,3,0,2
400,18,25,3,150,800,600,30,5,0,8
300,12,15,2,150,300,250,35,4,0,5
400,15,10,2,100,500,300,45,3,0,3
300,10,15,2,200,100,250,25,2,0,20
320,15,12,2,100,400,350,35,5,0,6
380,15,30,3,150,800,400,20,4,0,3
350,18,15,2,100,300,200,12,3,0,2
400,20,25,3,100,700,450,18,3,0,4
350,15,20,2,80,500,350,10,3,0,3
300,12,10,2,100,400,350,25,4,0,5
420,16,22,3,120,800,450,35,2,0,8
350,10,6,1,100,400,200,55,4,0,20
450,20,25,2,150,700,400,30,4,0,3
200,8,6,1,60,300,400,30,6,0,10
400,18,20,2,100,500,350,20,3,0,2
320,15,18,1,100,300,200,10,3,0,2
350,15,20,2,80,500,350,10,3,0,4
400,20,30,4,150,800,500,15,4,0,5
320,12,10,2,100,300,200,25,3,0,3
350,18,22,3,80,500,350,10,3,0,2
420,9,25,3,100,700,450,35,4,0,2
350,18,30,4,150,700,500,10,2,0,0
320,10,10,2,80,300,300,45,8,0,6
280,12,12,2,80,200,250,20,6,0,1
380,10,20,3,80,600,400,45,3,0,2
280,8,10,2,80,500,400,40,8,0,3
350,12,15,3,100,200,250,30,4,0,2
320,10,18,2,120,300,350,25,4,0,2
180,6,20,2,80,200,200,5,2,0,2
320,10,8,2,100,300,350,40,6,0,4
420,16,22,3,120,600,400,40,8,0,3
320,12,10,2,100,450,350,45,6,0,5
300,10,15,2,150,400,250,25,4,0,2
350,12,15,2,200,300,350,30,4,0,3
380,14,20,3,150,400,250,30,2,0,2
450,18,25,3,120,700,400,35,3,0,2
350,12,20,2,80,600,350,30,4,0,3
